datetime,open,high,low,close,volume
2025-03-12,219.8,222.3899,214.91,217.41,55240960.0
2025-03-13,216.0,216.98,208.42,210.2,53416049.0
2025-03-14,210.72,213.95,209.58,213.29,49751758.0
2025-03-15,,,,,0.0
2025-03-16,,,,,0.0
2025-03-17,212.86,215.22,209.97,213.93,38396732.0
2025-03-18,213.73,215.15,211.49,213.0,34961359.0
2025-03-19,213.58,218.76,212.62,216.15,40544601.0
2025-03-20,216.24,217.4899,212.22,213.7,35635812.0
2025-03-21,213.9,218.84,209.2,217.8799,63844184.0
2025-03-22,,,,,0.0
2025-03-23,,,,,0.0
2025-03-24,219.8,221.48,218.58,220.74,34263074.0
2025-03-25,220.5,224.33,220.05,224.18,27806315.0
2025-03-26,223.94,225.02,220.47,221.53,27671257.0
2025-03-27,221.0,224.99,220.5,223.46,28681262.0
2025-03-28,222.0,223.85,217.22,217.22,31388396.0
2025-03-29,,,,,0.0
2025-03-30,,,,,0.0
2025-03-31,215.74,225.62,215.0,221.1999,45829597.0
2025-04-01,221.42,224.0,218.9,223.45,29079091.0
2025-04-02,222.82,225.5,206.15,207.91,29458343.0
2025-04-03,210.78,211.03,201.25,203.38,90430932.0
2025-04-04,203.11,203.46,186.44,186.6,112512510.0
2025-04-05,,,,,0.0
2025-04-06,,,,,0.0
2025-04-07,177.87,194.15,174.43,182.68,143890480.0
2025-04-08,183.88,190.335,169.1,169.45,106415442.0
2025-04-09,172.1,200.61,168.0,197.7118,160398822.0
2025-04-10,193.87,197.05,183.0,189.44,103110880.0
2025-04-11,191.1,199.54,185.21,196.95,74553724.0
2025-04-12,,,,,0.0
2025-04-13,,,,,0.0
2025-04-14,209.68,212.94,198.843,200.93,93604976.0
2025-04-15,202.22,204.0,199.0,199.81,40715216.0
2025-04-16,198.8,202.46,192.37,194.94,49824199.0
2025-04-17,196.5,198.8335,194.42,197.25,43077924.0
2025-04-18,,,,,0.0
2025-04-19,,,,,0.0
2025-04-20,,,,,0.0
2025-04-21,195.93,195.93,189.8112,194.0,34094802.0
2025-04-22,193.79,205.75,193.58,205.0,44668371.0
2025-04-23,205.0,208.0,202.799,204.4594,44414460.0
2025-04-24,203.87,208.91,201.68,207.9991,33091251.0
2025-04-25,208.6,209.75,205.03,208.59,30341042.0
2025-04-26,,,,,0.0
2025-04-27,,,,,0.0
2025-04-28,208.76,211.5,207.46,210.3,27922448.0
2025-04-29,210.65,212.24,208.37,210.556,28032841.0
2025-04-30,210.58,213.58,206.6705,209.0,34438918.0
2025-05-01,209.58,214.56,203.84,205.25,47492885.0
2025-05-02,206.6,208.0324,202.16,205.04,83635292.0
2025-05-03,,,,,0.0
2025-05-04,,,,,0.0
2025-05-05,205.0,205.0,198.21,198.6,54358030.0
2025-05-06,198.65,201.5,197.02,201.15,43070954.0
2025-05-07,201.45,201.45,193.25,196.45,50384544.0
2025-05-08,197.98,200.05,194.6796,197.51,39141190.0
2025-05-09,197.71,200.5399,197.0,198.5244,30191114.0
2025-05-10,,,,,0.0
2025-05-11,,,,,0.0
2025-05-12,205.62,213.43,202.95,210.15,54418631.0
2025-05-13,210.0,213.4,208.98,212.15,41997057.0
2025-05-14,212.8,213.94,210.5801,211.9661,39778012.0
2025-05-15,211.48,212.96,209.29,211.01,37578536.0
2025-05-16,211.75,212.8,207.8,207.93,42420071.0
2025-05-17,,,,,0.0
2025-05-18,,,,,0.0
2025-05-19,207.9,209.48,204.26,208.9,38373327.0
2025-05-20,208.88,208.88,205.03,206.6237,36089252.0
2025-05-21,206.45,207.04,200.71,201.85,50671683.0
